soundname	intervalname	F1	F2	F3	speaker
Y22Fv1	hood	456.6780997892	1564.7915073559	2701.8361212597	y22
Y22Fv1	hard	869.864461077	1250.0206034266	2665.1985663583	y22
Y22Fv1	hud	758.4868264848	1745.0578846929	2695.0725630333	y22
Y22Fv1	hid	602.8833574268	1949.1815116382	2900.1386241111	y22
Y22Fv1	heed	364.6387894756	2773.8492439806	3272.8515539495	y22
Y22Fv1	head	448.9730195079	2594.4419711464	3079.6544527755	y22
Y22Fv1	had	705.8464424717	2292.3448229463	3011.9558395013	y22
Y22Fv1	hard	903.3987672619	1287.9191663711	2778.0485143926	y22
Y22Fv1	hod	596.8158429218	1216.3291633288	2493.9241149589	y22
Y22Fv1	whod	360.0068684524	1611.5155368431	2333.4388235881	y22
Y22Fv1	herd	529.57734512	1839.5439723279	2521.6395606663	y22
Y22Fv1	hid	502.9703025918	1881.711339273	3337.4731679076	y22
Y22Fv2	hard	977.2348396438	1445.5375909726	2683.7973495506	y22
Y22Fv2	hood	497.2948168638	1384.5162472398	2552.5530495027	y22
Y22Fv2	hod	594.0195736827	1156.5431496742	2543.6645076628	y22
Y22Fv2	heed	394.4463097625	2846.349856006	3687.4144489244	y22
Y22Fv2	hoard	472.9937815961	795.3405570618	2558.4423113047	y22
Y22Fv2	head	454.4930467227	2622.8202855661	3049.3822117199	y22
Y22Fv2	whod	356.9659646664	1678.8257171065	2519.8379411317	y22
Y22Fv2	had	709.4615698399	2209.716497672	2802.4125155255	y22
Y22Fv2	herd	563.9454533163	1839.6812351729	2568.8562655662	y22
Y22Fv2	hard	1006.0410108721	1447.2353420383	2822.1917866392	y22
Y22Fv2	hid	561.4873143264	1939.9032441273	2972.078730809	y22
Y22Fv2	hod	597.4792079697	1104.3578494316	2555.6091640033	y22
Y22Fv2	hud	942.3654643163	1501.4799083942	2742.1947288093	y22
Y22Fv3	hod	566.6201502436	1112.0049964336	2575.9536860737	y22
Y22Fv3	hood	524.0592986444	1563.410504849	2531.7295399881	y22
Y22Fv3	head	406.2442678203	2576.825114367	3162.6757041478	y22
Y22Fv3	herd	479.2574522191	1882.2771421097	2593.0982343529	y22
Y22Fv3	hard	912.7906312962	1289.6236112936	2629.3410843137	y22
Y22Fv3	hid	551.1556541888	2023.3588941413	3012.1589267297	y22
